province,year,total/ten_thousand,urban/ten_thousand,rural/ten_thousand,birth_rate,death_rate,location
Tibet,2013,312,74,238,15.77,5.39,West
Shaanxi,2013,"3,764","1,931","1,833",10.01,6.15,West
Gansu,2013,"2,582","1,036","1,546",12.16,6.08,West
Qinghai,2013,578,280,298,14.16,6.13,West
Ningxia,2013,654,340,314,13.12,4.5,West
Xinjiang,2013,"2,264","1,007","1,257",15.84,4.92,West
Beijing,2012,"2,069","1,784",286,9.05,4.31,East
Tianjin,2012,"1,413","1,152",261,8.75,6.12,East
Hebei,2012,"7,288","3,411","3,877",12.88,6.41,East
Shanxi,2012,"3,611","1,851","1,760",10.7,5.83,Middle
Inner Mongolia,2012,"2,490","1,438","1,052",9.17,5.52,West
Liaoning,2012,"4,389","2,881","1,508",6.15,6.54,Northeast
Jilin,2012,"2,750","1,477","1,273",5.73,5.37,Northeast
Heilongjiang,2012,"3,834","2,182","1,652",7.3,6.03,Northeast
Shanghai,2012,"2,380","2,126",255,9.56,5.36,East
Jiangsu,2012,"7,920","4,990","2,930",9.44,6.99,East
Zhejiang,2012,"5,477","3,461","2,016",10.12,5.52,East
Anhui,2012,"5,988","2,784","3,204",13,6.14,Middle
Fujian,2012,"3,748","2,234","1,514",12.74,5.73,East
Jiangxi,2012,"4,504","2,140","2,364",13.46,6.14,Middle
Shandong,2012,"9,685","5,078","4,607",11.9,6.95,East
Henan,2012,"9,406","3,991","5,415",11.87,6.71,Middle
Hubei,2012,"5,779","3,092","2,687",11,6.12,Middle
Hunan,2012,"6,639","3,097","3,542",13.58,7.01,Middle
Guangdong,2012,"10,594","7,140","3,454",11.6,4.65,East
Guangxi,2012,"4,682","2,038","2,644",14.2,6.31,West
Hainan,2012,887,457,429,14.66,5.81,East
Chongqing,2012,"2,945","1,678","1,267",10.86,6.86,West
Sichuan,2012,"8,076","3,516","4,561",9.89,6.92,West
Guizhou,2012,"3,484","1,269","2,216",13.27,6.96,West
Yunnan,2012,"4,659","1,831","2,828",12.63,6.41,West
Tibet,2012,308,70,238,15.48,5.21,West
Shaanxi,2012,"3,753","1,877","1,876",10.12,6.24,West
Gansu,2012,"2,578",999,"1,579",12.11,6.05,West
Qinghai,2012,573,272,301,14.3,6.06,West
Ningxia,2012,647,328,319,13.26,4.33,West
Xinjiang,2012,"2,233",982,"1,251",15.32,4.48,West
Beijing,2011,"2,019","1,740",279,8.29,4.27,East
Tianjin,2011,"1,355","1,090",264,8.58,6.08,East
Hebei,2011,"7,241","3,302","3,939",13.02,6.52,East
Shanxi,2011,"3,593","1,785","1,808",10.47,5.61,Middle
Inner Mongolia,2011,"2,482","1,405","1,077",8.94,5.43,West
Liaoning,2011,"4,383","2,807","1,576",5.71,6.05,Northeast
Jilin,2011,"2,749","1,468","1,281",6.53,5.51,Northeast
Heilongjiang,2011,"3,834","2,166","1,668",6.99,5.92,Northeast
Shanghai,2011,"2,347","2,096",251,6.97,5.1,East
Jiangsu,2011,"7,899","4,889","3,009",9.59,6.98,East
Zhejiang,2011,"5,463","3,403","2,060",9.47,5.4,East
Anhui,2011,"5,968","2,674","3,294",12.23,5.91,Middle
Fujian,2011,"3,720","2,161","1,559",11.41,5.2,East
Jiangxi,2011,"4,488","2,051","2,437",13.48,5.98,Middle
Shandong,2011,"9,637","4,910","4,727",11.5,6.4,East
Henan,2011,"9,388","3,809","5,579",11.56,6.62,Middle
Hubei,2011,"5,758","2,984","2,774",10.39,6.01,Middle
Hunan,2011,"6,596","2,975","3,621",13.35,6.8,Middle
Guangdong,2011,"10,505","6,986","3,519",10.45,4.35,East
Guangxi,2011,"4,645","1,942","2,703",13.71,6.04,West
Hainan,2011,877,443,434,14.72,5.75,East
Chongqing,2011,"2,919","1,606","1,313",9.88,6.71,West
Sichuan,2011,"8,050","3,367","4,683",9.79,6.81,West
Guizhou,2011,"3,469","1,213","2,256",13.31,6.93,West
Yunnan,2011,"4,631","1,704","2,927",12.71,6.36,West
Tibet,2011,303,69,234,15.39,5.13,West
Shaanxi,2011,"3,743","1,770","1,973",9.75,6.06,West
Gansu,2011,"2,564",953,"1,612",12.08,6.03,West
Qinghai,2011,568,263,306,14.43,6.12,West
Ningxia,2011,639,319,321,13.65,4.68,West
Xinjiang,2011,"2,209",962,"1,247",14.99,4.42,West
Beijing,2010,"1,962","1,686",275,7.48,4.41,East
Tianjin,2010,"1,299","1,034",266,8.18,5.58,East
Hebei,2010,"7,194","3,201","3,993",13.22,6.41,East
Shanxi,2010,"3,574","1,717","1,857",10.68,5.38,Middle
Inner Mongolia,2010,"2,472","1,372","1,100",9.3,5.54,West
Liaoning,2010,"4,375","2,717","1,658",6.68,6.26,Northeast
Jilin,2010,"2,747","1,465","1,281",7.91,5.88,Northeast
Heilongjiang,2010,"3,833","2,134","1,700",7.35,5.03,Northeast
Shanghai,2010,"2,303","2,056",246,7.05,5.07,East
Jiangsu,2010,"7,869","4,767","3,102",9.73,6.88,East
Zhejiang,2010,"5,447","3,356","2,090",10.27,5.54,East
Anhui,2010,"5,957","2,562","3,395",12.7,5.95,Middle
Fujian,2010,"3,693","2,109","1,584",11.27,5.16,East
Jiangxi,2010,"4,462","1,966","2,496",13.72,6.06,Middle
Shandong,2010,"9,588","4,765","4,823",11.65,6.26,East
Henan,2010,"9,405","3,621","5,784",11.52,6.57,Middle
Hubei,2010,"5,728","2,847","2,881",10.36,6.02,Middle
Hunan,2010,"6,570","2,845","3,725",13.1,6.7,Middle
Guangdong,2010,"10,441","6,910","3,531",11.18,4.21,East
Guangxi,2010,"4,610","1,844","2,766",14.13,5.48,West
Hainan,2010,869,433,436,14.71,5.73,East
Chongqing,2010,"2,885","1,529","1,355",9.17,6.4,West
Sichuan,2010,"8,045","3,232","4,812",8.93,6.62,West
Guizhou,2010,"3,479","1,176","2,303",13.96,6.55,West
Yunnan,2010,"4,602","1,597","3,005",13.1,6.56,West
Tibet,2010,300,68,232,15.8,5.55,West
Shaanxi,2010,"3,735","1,709","2,026",9.73,6.01,West
Gansu,2010,"2,560",925,"1,635",12.05,6.02,West
Qinghai,2010,563,252,311,14.94,6.31,West
Ningxia,2010,633,303,330,14.14,5.1,West
Xinjiang,2010,"2,185",940,"1,245",15.99,5.43,West
Beijing,2009,"1,860","1,581",279,8.06,4.56,East
Tianjin,2009,"1,228",958,270,8.3,5.7,East
Hebei,2009,"7,034","3,077","3,957",12.93,6.43,East
Shanxi,2009,"3,427","1,576","1,851",10.87,5.98,Middle
Inner Mongolia,2009,"2,458","1,313","1,146",9.57,5.61,West
Liaoning,2009,"4,341","2,620","1,721",6.06,5.09,Northeast
Jilin,2009,"2,740","1,461","1,279",6.69,4.74,Northeast
Heilongjiang,2009,"3,826","2,123","1,703",7.48,5.42,Northeast
Shanghai,2009,"2,210","1,958",252,8.64,5.94,East
Jiangsu,2009,"7,810","4,343","3,468",9.55,6.99,East
Zhejiang,2009,"5,276","3,055","2,221",10.22,5.59,East
Anhui,2009,"6,131","2,581","3,550",13.07,6.6,Middle
Fujian,2009,"3,666","2,020","1,646",12.2,6,East
Jiangxi,2009,"4,432","1,914","2,518",13.87,5.98,Middle
Shandong,2009,"9,470","4,576","4,894",11.7,6.08,East
Henan,2009,"9,487","3,577","5,910",11.45,6.46,Middle
Hubei,2009,"5,720","2,631","3,089",9.48,6,Middle
Hunan,2009,"6,406","2,767","3,639",13.05,6.94,Middle
Guangdong,2009,"10,130","6,423","3,708",11.78,4.52,East
